_id,MODEL_CD
67dbab500dc9badbe92b99ad,BREZZA
67dbab500dc9badbe92b99ae,BREZZA
67dbab500dc9badbe92b99af,BREZZA
67dbab510dc9badbe92b99c9,BREZZA
67dbab520dc9badbe92b99d0,BREZZA
67dbab500dc9badbe92b99b0,BREZZA
67dbab540dc9badbe92b99fc,BREZZA
67f75b45297b3a5cefba9239,EECO
67dbab500dc9badbe92b99b1,BREZZA
67dbab520dc9badbe92b99d1,BREZZA
67dbab520dc9badbe92b99db,BREZZA
67dbab500dc9badbe92b99b2,BREZZA
67dbab500dc9badbe92b99b3,BREZZA
67dbab500dc9badbe92b99b4,BREZZA
67dbab500dc9badbe92b99b5,BREZZA
67dbab510dc9badbe92b99b6,BREZZA
67dbab510dc9badbe92b99bc,BREZZA
67dbab510dc9badbe92b99b7,BREZZA
67dbab510dc9badbe92b99b8,BREZZA
67dbab510dc9badbe92b99b9,BREZZA
67dbab510dc9badbe92b99ba,BREZZA
67dbab530dc9badbe92b99eb,BREZZA
67dbab540dc9badbe92b99ff,BREZZA
67dbab510dc9badbe92b99bb,BREZZA
67dbab510dc9badbe92b99bd,BREZZA
67dbab510dc9badbe92b99be,BREZZA
67dbab510dc9badbe92b99bf,BREZZA
67dbab550dc9badbe92b9a17,BREZZA
67dbab570dc9badbe92b9a36,BREZZA
67dbab510dc9badbe92b99c0,BREZZA
67dbab510dc9badbe92b99c5,BREZZA
67dbab550dc9badbe92b9a0c,BREZZA
67dbab510dc9badbe92b99c1,BREZZA
67dbab530dc9badbe92b99ea,BREZZA
67f75b4e297b3a5cefba923b,S-PRESSO
67dbab510dc9badbe92b99c2,BREZZA
67dbab510dc9badbe92b99c3,BREZZA
67dbab510dc9badbe92b99c4,BREZZA
67dbab510dc9badbe92b99c6,BREZZA
67dbab560dc9badbe92b9a25,BREZZA
67f75b4e297b3a5cefba923c,S-PRESSO
67dbab510dc9badbe92b99c7,BREZZA
67dbab510dc9badbe92b99c8,BREZZA
67dbab520dc9badbe92b99ca,BREZZA
67dbab520dc9badbe92b99cb,BREZZA
67dbab540dc9badbe92b99f6,BREZZA
67f75b4e297b3a5cefba923d,S-PRESSO
67dbab520dc9badbe92b99cc,BREZZA
67dbab520dc9badbe92b99cd,BREZZA
67dbab520dc9badbe92b99ce,BREZZA
67dbab520dc9badbe92b99cf,BREZZA
67dbab520dc9badbe92b99d2,BREZZA
67dbab580dc9badbe92b9a5a,BREZZA
67dbab520dc9badbe92b99d3,BREZZA
67dbab520dc9badbe92b99d9,BREZZA
67f75b4e297b3a5cefba923e,S-PRESSO
67dbab520dc9badbe92b99d4,BREZZA
67dbab520dc9badbe92b99d5,BREZZA
67dbab520dc9badbe92b99d6,BREZZA
